Gene Expression	DDX11L1
Gene Expression	WASH7P
Gene Expression	MIR6859-1
Gene Expression	MIR1302-2HG
Gene Expression	MIR1302-2
Gene Expression	FAM138A
Gene Expression	OR4G4P
Gene Expression	OR4G11P
Gene Expression	OR4F5
Gene Expression	RP11-34P13.7
Gene Expression	RP11-34P13.8
Gene Expression	CICP27
Gene Expression	RP11-34P13.15
Gene Expression	RP11-34P13.16
Gene Expression	RP11-34P13.14
Gene Expression	RP11-34P13.13
Gene Expression	RNU6-1100P
Gene Expression	RP11-34P13.9
Gene Expression	DDX11L17
Gene Expression	WASH9P
Gene Expression	MIR6859-2
Gene Expression	AP006222.1
Gene Expression	AP006222.3
Gene Expression	RPL23AP24
Gene Expression	RP4-669L17.2
Gene Expression	RP4-669L17.4
Gene Expression	WBP1LP7
Gene Expression	OR4F29
Gene Expression	CICP7
Gene Expression	RP4-669L17.8
Gene Expression	U6
Gene Expression	RP11-206L10.17
Gene Expression	RP5-857K21.2
Gene Expression	MTND1P23
Gene Expression	MTND2P28
Gene Expression	MTCO1P12
Gene Expression	ENSG00000278791
Gene Expression	MTCO2P12
Gene Expression	MTATP8P1
Gene Expression	MTATP6P1
Gene Expression	MTCO3P12
Gene Expression	WBP1LP6
Gene Expression	OR4F16
Gene Expression	CICP3
Gene Expression	RP11-206L10.2
Gene Expression	RNU6-1199P
Gene Expression	RP11-206L10.4
Gene Expression	LINC01409
Gene Expression	RP11-206L10.18
Gene Expression	RP11-206L10.8
Gene Expression	FAM87B
Gene Expression	LINC01128
Gene Expression	LINC00115
Gene Expression	RP11-206L10.19
Gene Expression	FAM41C
Gene Expression	TUBB8P11
Gene Expression	FAM166AP3
Gene Expression	RP11-54O7.16
Gene Expression	RP11-54O7.1
Gene Expression	RP11-54O7.2
Gene Expression	LINC02593
Gene Expression	SAMD11
Gene Expression	NOC2L
Gene Expression	KLHL17
Gene Expression	PLEKHN1
Gene Expression	PERM1
Gene Expression	RP11-54O7.17
Gene Expression	HES4
Gene Expression	ISG15
Gene Expression	RP11-54O7.10
Gene Expression	RP11-54O7.11
Gene Expression	AGRN
Gene Expression	RP11-54O7.14
Gene Expression	RP11-465B22.3
Gene Expression	RP11-54O7.18
Gene Expression	RNF223
Gene Expression	C1orf159
Gene Expression	RP11-465B22.9
Gene Expression	LINC01342
Gene Expression	MIR200B
Gene Expression	MIR200A
Gene Expression	MIR429
Gene Expression	RP11-465B22.8
Gene Expression	TTLL10-AS1
Gene Expression	TTLL10
Gene Expression	TNFRSF18
Gene Expression	TNFRSF4
Gene Expression	SDF4
Gene Expression	B3GALT6
Gene Expression	C1QTNF12
Gene Expression	RP5-902P8.12
Gene Expression	UBE2J2
Gene Expression	LINC01786
Gene Expression	SCNN1D
Gene Expression	ACAP3
Gene Expression	MIR6726
Gene Expression	PUSL1
Gene Expression	INTS11
Gene Expression	MIR6727
Gene Expression	RP5-890O3.9
Gene Expression	CPTP
Gene Expression	TAS1R3
Gene Expression	DVL1
Gene Expression	MIR6808
Gene Expression	MXRA8
Gene Expression	AURKAIP1
Gene Expression	NDUFB4P8
Gene Expression	CCNL2
Gene Expression	MRPL20-AS1
Gene Expression	MRPL20
Gene Expression	RN7SL657P
Gene Expression	MRPL20-DT
Gene Expression	ANKRD65
